movie_id	title	tagline	released	id	name	genre
				11367	Bradley Whitford
				61981	Michael Clarke Duncan
				5149	Bonnie Hunt
				52	David Morse
				6804	Graham Greene
				1276	Patricia Clarkson
				6805	Dabbs Greer
				6806	Doug Hutchison
				6807	Sam Rockwell
				2505	James Cromwell
				12834	Barry Pepper
				5048	Harry Dean Stanton
				12645	Jeffrey DeMunn
				128201	Eve Brent
				1003	Jean Reno
				1004	Danny Aiello
				64	Gary Oldman
				1005	Peter Appel
				1006	Willi One Blood
				1008	Keith A. Glascoe
				1007	Don Creech
				1010	Michael Badalucco
				13420	Ellen Greene
				122230	Elizabeth Regen
				977543	Carl J. Matusovich
				138401	Frank Senger
				1171232	Lucius Wyatt Cherokee
				1171233	Eric Challier
				185351	Luc Bernard
				64210	Maïwenn Le Besco
				58533	Jessie Keosian
				2701	George Martin
				1171234	Abdul Hassan Sharif
				94435	Stuart Rudin
				20914	Kent Broadhurst
				159887	Tommy Hollis
				28037	Peter Linari
				1171238	Johnny Limo
				1171239	Danny Peled
				171224	Seth Jerome Walker
				1171240	Michael Mundra
				109	Elijah Wood
				1327	Ian McKellen
				110	Viggo Mortensen
				882	Liv Tyler
				655	John Rhys-Davies
				48	Sean Bean
				1328	Sean Astin
				1329	Billy Boyd
				1330	Dominic Monaghan
				112	Cate Blanchett
				65	Ian Holm
				1332	Craig Parker
				1365	Lawrence Makoare
				1366	Sala Baker
				1367	Alan Howard
				1333	Andy Serkis
				965278	Sarah McLeod
				1369	Bernard Hill
				1370	Brad Dourif
				502	Miranda Otto
				1371	David Wenham
				1372	Karl Urban
				941439	Olivia Tennet
				1381	John Noble
				1382	Paul Norell
				1383	Thomas Robins
				108	Peter Jackson
				2710	James Cameron
				2419	Jean-Pierre Jeunet
				240	Stanley Kubrick
				488	Steven Spielberg
				6046	Roland Emmerich
				9340	Lana Wachowski
				9339	Andy Wachowski
				2226	Sydney Pollack
				5174	Barry Sonnenfeld
				10051	Tobe Hooper
				24	Robert Zemeckis
				86270	Joseph Kosinski
				1	George Lucas
				19800	Richard Marquand
				2380	David Carson
				1744	Robert Wise
				2523	Stuart Baird
				1788	Nicholas Meyer
				510	Tim Burton
				1704	Gore Verbinski
				5306	Lasse Hallström
				6159	Ron Howard
				16294	Jonathan Demme
				4027	Frank Darabont
				59	Luc Besson
